BioWare Version 5.3.2.9 Export
Device:	Kistler Grande1 9286BA	Kistler Grande1 9286BA
Samples (#):	70000	70000
Rate (Hz):	1000.000000	1000.000000
Contact period start (sample #):	0	0
Contact period end (sample #):	69999	69999
Contact period start time (s):	0.000000	0.000000
Contact period end time (s):	69.999001	69.999001
First sample time (s):	0.000000	0.000000
Normalized force (N):	1.000000	1.000000
Normalized length (m):	1.000000	1.000000
File Information
Date	Jan 25, 2018  11:14:02
Name	
ID	
Classification	
Description	
abs time (s)	Ax	Ay
	m	m
0.301000	-0.022077	0.042503
0.302000	-0.022080	0.042521
0.303000	-0.022117	0.042532
0.304000	-0.022104	0.042503
0.305000	-0.022103	0.042522
0.306000	-0.022084	0.042512
0.307000	-0.022091	0.042482
0.308000	-0.022108	0.042519
0.309000	-0.022089	0.042536
0.310000	-0.022111	0.042527
0.311000	-0.022119	0.042593
0.312000	-0.022092	0.042550
0.313000	-0.022103	0.042547
0.314000	-0.022083	0.042529
0.315000	-0.022110	0.042515
0.316000	-0.022088	0.042526
0.317000	-0.022092	0.042538
0.318000	-0.022101	0.042543
0.319000	-0.022096	0.042558
0.320000	-0.022089	0.042561
0.321000	-0.022076	0.042571
0.322000	-0.022089	0.042534
0.323000	-0.022064	0.042551
0.324000	-0.022063	0.042550
0.325000	-0.022053	0.042539
0.326000	-0.022055	0.042587
0.327000	-0.022056	0.042583
0.328000	-0.022045	0.042576
0.329000	-0.022030	0.042566
0.330000	-0.022010	0.042563
0.331000	-0.022005	0.042563
0.332000	-0.022012	0.042562
0.333000	-0.021980	0.042582
0.334000	-0.021974	0.042563
0.335000	-0.021984	0.042595
0.336000	-0.021987	0.042572
0.337000	-0.021965	0.042576
0.338000	-0.021927	0.042572
0.339000	-0.021919	0.042554
0.340000	-0.021910	0.042548
0.341000	-0.021894	0.042535
0.342000	-0.021891	0.042529
0.343000	-0.021883	0.042561
0.344000	-0.021876	0.042563
0.345000	-0.021828	0.042521
0.346000	-0.021838	0.042565
0.347000	-0.021815	0.042535
0.348000	-0.021830	0.042530
0.349000	-0.021816	0.042533
0.350000	-0.021807	0.042548
0.351000	-0.021809	0.042540
0.352000	-0.021818	0.042528
0.353000	-0.021783	0.042568
0.354000	-0.021795	0.042574
0.355000	-0.021771	0.042557
0.356000	-0.021767	0.042519
0.357000	-0.021755	0.042572
0.358000	-0.021746	0.042556
0.359000	-0.021757	0.042577
0.360000	-0.021731	0.042595
0.361000	-0.021727	0.042568
0.362000	-0.021733	0.042562
0.363000	-0.021727	0.042563
0.364000	-0.021689	0.042547
0.365000	-0.021673	0.042582
0.366000	-0.021676	0.042570
0.367000	-0.021684	0.042597
0.368000	-0.021671	0.042580
0.369000	-0.021662	0.042575
0.370000	-0.021654	0.042574
0.371000	-0.021664	0.042560
0.372000	-0.021642	0.042527
0.373000	-0.021623	0.042526
0.374000	-0.021634	0.042553
0.375000	-0.021627	0.042560
0.376000	-0.021637	0.042566
0.377000	-0.021618	0.042576
0.378000	-0.021629	0.042546
0.379000	-0.021605	0.042580
0.380000	-0.021600	0.042535
0.381000	-0.021626	0.042566
0.382000	-0.021627	0.042569
0.383000	-0.021614	0.042580
0.384000	-0.021618	0.042608
0.385000	-0.021624	0.042598
0.386000	-0.021612	0.042606
0.387000	-0.021612	0.042578
0.388000	-0.021607	0.042567
0.389000	-0.021613	0.042574
0.390000	-0.021602	0.042574
0.391000	-0.021590	0.042611
0.392000	-0.021601	0.042608
0.393000	-0.021603	0.042608
0.394000	-0.021603	0.042590
0.395000	-0.021601	0.042570
0.396000	-0.021577	0.042614
0.397000	-0.021579	0.042552
0.398000	-0.021558	0.042563
0.399000	-0.021567	0.042560
0.400000	-0.021583	0.042593
0.401000	-0.021588	0.042567
0.402000	-0.021563	0.042593
0.403000	-0.021557	0.042594
0.404000	-0.021563	0.042572
0.405000	-0.021548	0.042554
0.406000	-0.021534	0.042591
0.407000	-0.021548	0.042583
0.408000	-0.021551	0.042581
0.409000	-0.021547	0.042603
0.410000	-0.021526	0.042580
0.411000	-0.021536	0.042551
0.412000	-0.021520	0.042553
0.413000	-0.021507	0.042552
0.414000	-0.021518	0.042544
0.415000	-0.021506	0.042568
0.416000	-0.021501	0.042592
0.417000	-0.021510	0.042594
0.418000	-0.021497	0.042554
0.419000	-0.021482	0.042584
0.420000	-0.021482	0.042592
0.421000	-0.021456	0.042571
0.422000	-0.021463	0.042552
0.423000	-0.021465	0.042569
0.424000	-0.021441	0.042556
0.425000	-0.021421	0.042584
0.426000	-0.021433	0.042563
0.427000	-0.021411	0.042537
0.428000	-0.021400	0.042555
0.429000	-0.021358	0.042507
0.430000	-0.021358	0.042516
0.431000	-0.021367	0.042488
0.432000	-0.021339	0.042521
0.433000	-0.021359	0.042545
0.434000	-0.021318	0.042528
0.435000	-0.021304	0.042503
0.436000	-0.021302	0.042513
0.437000	-0.021281	0.042456
0.438000	-0.021257	0.042474
0.439000	-0.021266	0.042477
0.440000	-0.021260	0.042468
0.441000	-0.021244	0.042475
0.442000	-0.021232	0.042453
0.443000	-0.021233	0.042507
0.444000	-0.021215	0.042465
0.445000	-0.021205	0.042427
0.446000	-0.021201	0.042437
0.447000	-0.021189	0.042447
0.448000	-0.021183	0.042440
0.449000	-0.021170	0.042451
0.450000	-0.021160	0.042465
0.451000	-0.021161	0.042420
0.452000	-0.021144	0.042421
0.453000	-0.021150	0.042436
0.454000	-0.021143	0.042423
0.455000	-0.021132	0.042406
0.456000	-0.021120	0.042446
0.457000	-0.021112	0.042409
0.458000	-0.021123	0.042401
0.459000	-0.021088	0.042369
0.460000	-0.021095	0.042380
0.461000	-0.021075	0.042387
0.462000	-0.021081	0.042380
0.463000	-0.021069	0.042379
0.464000	-0.021046	0.042363
0.465000	-0.021055	0.042357
0.466000	-0.021065	0.042392
0.467000	-0.021049	0.042377
0.468000	-0.021034	0.042411
0.469000	-0.021023	0.042380
0.470000	-0.021001	0.042395
0.471000	-0.021023	0.042383
0.472000	-0.021028	0.042366
0.473000	-0.021008	0.042397
0.474000	-0.021016	0.042386
0.475000	-0.020987	0.042383
0.476000	-0.021005	0.042357
0.477000	-0.020990	0.042379
0.478000	-0.020986	0.042369
0.479000	-0.020979	0.042393
0.480000	-0.020980	0.042370
0.481000	-0.020965	0.042381
0.482000	-0.020969	0.042366
0.483000	-0.020963	0.042385
0.484000	-0.020945	0.042383
0.485000	-0.020966	0.042381
0.486000	-0.020913	0.042345
0.487000	-0.020927	0.042334
0.488000	-0.020935	0.042364
0.489000	-0.020946	0.042361
0.490000	-0.020921	0.042371
0.491000	-0.020905	0.042375
0.492000	-0.020913	0.042362
0.493000	-0.020918	0.042373
0.494000	-0.020920	0.042359
0.495000	-0.020897	0.042367
0.496000	-0.020877	0.042371
0.497000	-0.020881	0.042368
0.498000	-0.020882	0.042407
0.499000	-0.020856	0.042394
0.500000	-0.020851	0.042399
0.501000	-0.020860	0.042399
0.502000	-0.020846	0.042404
0.503000	-0.020831	0.042406
0.504000	-0.020795	0.042429
0.505000	-0.020781	0.042420
0.506000	-0.020787	0.042422
0.507000	-0.020766	0.042415
