RI	RS	VM	VL
-252.1059390584607	-67.22825041558951	-4638.749278675677	-521.0189407208188
-235.29887645456336	-84.03531301948689	-4084.1162127470634	-571.4401285325109
-67.22825041558951	-84.03531301948689	-2403.4099523573254	-958.0025684221506
-134.45650083117903	50.42118781169214	-974.809631026048	-1310.9508831039957
-487.404815513024	16.80706260389738	2033.6545750715832	-1092.4590692533297
-655.4754415519978	134.45650083117903	1647.0921351819434	-184.8776886428712
-739.5107545714848	134.45650083117903	1714.3203855975325	1109.2661318572273
-571.4401285325109	-33.61412520779476	-756.3178171753822	1193.301444876714
-504.2118781169214	-184.8776886428712	-1109.2661318572273	689.0895667597925
-470.5977529091267	-33.61412520779476	-974.809631026048	-218.49181385066595
-537.8260033247161	33.61412520779476	-1529.4426969546614	-705.89662936369
-285.72006426625546	252.1059390584607	-2638.708828811889	-1764.7415734092249
319.3341894740502	436.9836277013319	-3462.25489640286	-2571.4805783962993
823.5460675909717	470.5977529091267	-2739.5512044352727	-2352.9887645456333
974.809631026048	453.7906903052293	-2823.58651745476	-1865.5839490326093
806.7390049870743	470.5977529091267	-369.7553772857424	-1243.722632688406
436.9836277013319	268.91300166235806	4184.958588370448	-50.42118781169214
84.03531301948689	-336.14125207794757	5260.61059501988	1512.6356343507643
-134.45650083117903	-689.0895667597925	5630.365972305623	1764.7415734092249
-319.3341894740502	-705.89662936369	3630.3255224418344	907.5813806104586
-386.56243988963973	-554.6330659286136	1310.9508831039957	605.0542537403056
-268.91300166235806	-201.68475124676857	-235.29887645456336	571.4401285325109
-201.68475124676857	84.03531301948689	521.0189407208188	336.14125207794757
16.80706260389738	151.2635634350764	470.5977529091267	1243.722632688406
0.0	67.22825041558951	67.22825041558951	1495.828571746867
-33.61412520779476	-84.03531301948689	974.809631026048	1210.1085074806113
-50.42118781169214	-302.5271268701528	2184.9181385066595	1025.2308188377403
-67.22825041558951	-218.49181385066595	2958.043018285939	806.7390049870743
-50.42118781169214	-50.42118781169214	436.9836277013319	33.61412520779476
16.80706260389738	-134.45650083117903	67.22825041558951	33.61412520779476
100.84237562338429	-235.29887645456336	369.7553772857424	252.1059390584607
117.64943822728168	-235.29887645456336	302.5271268701528	403.36950249353714
117.64943822728168	-285.72006426625546	302.5271268701528	50.42118781169214
151.2635634350764	-168.07062603897378	1495.828571746867	-621.861316344203
285.72006426625546	33.61412520779476	2705.937079227478	-840.3531301948691
352.948314681845	201.68475124676857	1865.5839490326093	-554.6330659286136
252.1059390584607	252.1059390584607	991.6166936299454	-285.72006426625546
218.49181385066595	369.7553772857424	-537.8260033247161	-840.3531301948691
436.9836277013319	537.8260033247161	-2621.9017662079914	-1277.3367578962009
638.6683789481004	537.8260033247161	-5008.504655961419	-739.5107545714848
689.0895667597925	352.948314681845	-5092.539968980906	-16.80706260389738
621.861316344203	84.03531301948689	-4874.04815513024	352.948314681845
151.2635634350764	-84.03531301948689	-4403.450402221114	453.7906903052293
-319.3341894740502	-33.61412520779476	-4168.151525766551	907.5813806104586
-689.0895667597925	-134.45650083117903	-4117.730337954858	1546.249759558559
-1075.6520066494322	-285.72006426625546	-3764.7820232730137	823.5460675909717
-1327.7579457078932	-369.7553772857424	-521.0189407208188	-369.7553772857424
-1344.5650083117903	-403.36950249353714	2437.02407756512	-958.0025684221506
-857.1601927987663	-184.8776886428712	2924.428893078144	-756.3178171753822
-235.29887645456336	67.22825041558951	2605.0947036040943	-756.3178171753822
336.14125207794757	235.29887645456336	2235.3393263183516	-638.6683789481004
873.9672554026638	403.36950249353714	840.3531301948691	-554.6330659286136
1008.4237562338428	420.17656509743455	151.2635634350764	-1176.4943822728167
873.9672554026638	285.72006426625546	-739.5107545714848	-1361.3720709156878
605.0542537403056	67.22825041558951	-2991.657143493734	-1210.1085074806113
184.8776886428712	-84.03531301948689	-1865.5839490326093	-588.2471911364083
-252.1059390584607	-537.8260033247161	3916.0455867080896	823.5460675909717
-789.9319423831769	-890.7743180065611	5832.050723552391	1663.8991977858407
-873.9672554026638	-739.5107545714848	5042.118781169214	722.7036919675874
-655.4754415519978	-369.7553772857424	1563.0568221624562	-134.45650083117903
-184.8776886428712	-184.8776886428712	-1327.7579457078932	-857.1601927987663
84.03531301948689	134.45650083117903	-2521.059390584607	-1815.1627612209172
319.3341894740502	352.948314681845	-3445.4478337989626	-1579.8638847663537
319.3341894740502	285.72006426625546	-2958.043018285939	-621.861316344203
420.17656509743455	319.3341894740502	-4638.749278675677	-285.72006426625546
689.0895667597925	268.91300166235806	-3865.6243988963975	-33.61412520779476
1142.8802570650219	319.3341894740502	-1344.5650083117903	-1126.0731944611243
1058.844944045535	302.5271268701528	-3193.341894740502	-1932.8121994481987
655.4754415519978	218.49181385066595	-386.56243988963973	-2336.181701941736
151.2635634350764	-84.03531301948689	6369.876726877108	1142.8802570650219
-605.0542537403056	-33.61412520779476	8403.53130194869	3832.0102736886024
-1361.3720709156878	-487.404815513024	6033.735474799159	6252.227288649825
