Devices
1000
,,Imported Kistler Force Plate (Internal Amplifier) - Force,,,Imported Kistler Force Plate (Internal Amplifier) - Moment,,,Imported Kistler Force Plate (Internal Amplifier) - CoP,,,Imported Kistler Force Plate (Internal Amplifier) - Force,,,Imported Kistler Force Plate (Internal Amplifier) - Moment,,,Imported Kistler Force Plate (Internal Amplifier) - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
14,4,-40.2337,32.2936,-823.042,-205048,66733.4,8552.53,381.081,699.135,0,3.88066,-7.01819,-97.4406,-305.93,-14319.5,2444.7,775.043,453.14,0
15,0,-40.8635,33.6028,-821.621,-208141,65360.9,8394.06,379.551,703.33,0,5.10227,-6.75773,-98.4938,-1322.12,-15341.3,2048.81,766.241,463.423,0
15,1,-40.9135,35.4542,-825.833,-208965,66612.7,9366.55,380.661,703.035,0,3.57748,-6.00221,-91.5644,-1292.68,-13132.6,2900.12,778.575,464.118,0
15,2,-41.8711,34.693,-829.044,-207934,65304.7,8643.29,378.771,700.811,0,3.86676,-7.56176,-95.6075,-1254.63,-13071.8,2220.98,785.276,463.123,0
15,3,-42.4872,35.514,-825.674,-209450,65818.2,9182.01,379.715,703.672,0,2.9034,-6.44229,-90.4365,-1147.97,-12027,2509.71,789.011,462.694,0
15,4,-42.6327,35.682,-837.76,-212577,66176.6,9151.06,378.992,703.744,0,2.92915,-6.42297,-82.6,-448.776,-12805.2,2003.52,766.974,455.433,0
16,0,-42.1871,36.0815,-835.024,-213186,66232.7,9262.55,379.318,705.305,0,3.18389,-5.84248,-86.7085,-859.767,-11923.9,2332.93,784.484,459.916,0
16,1,-43.3994,36.9147,-835.019,-213081,65877.5,9424.5,378.894,705.181,0,2.13201,-5.66424,-77.6573,2314.5,-11790.8,1794.42,770.169,420.196,0
16,2,-42.8143,37.5367,-841.653,-214650,65106.6,9502.33,377.356,705.033,0,2.33378,-5.06329,-79.247,-478.842,-11005.6,1422.1,783.122,456.042,0
16,3,-45.047,37.8441,-836.651,-214694,66056.6,9979.88,378.954,706.612,0,1.29331,-4.96703,-73.2926,611.454,-10558.8,1860.7,777.936,441.657,0
16,4,-44.3663,38.3034,-842.732,-216079,64543.2,9613.91,376.588,706.403,0,1.99432,-4.52706,-72.4308,-661.337,-10880.4,1595.38,771.783,459.131,0
17,0,-44.5224,38.6899,-846.713,-217016,65980.7,10173,377.926,706.304,0,2.05314,-4.84606,-70.1649,266.192,-8153.62,1683.59,805.794,446.206,0
17,1,-45.4333,38.9562,-845.462,-216832,64786.7,10083.3,376.629,706.466,0,2.93823,-4.12872,-71.6912,-502.974,-9056.74,1147.9,795.67,457.016,0
17,2,-45.1885,39.8787,-846.375,-221652,65925.4,10296.3,377.891,711.884,0,1.81259,-3.08883,-65.1746,-96.7111,-8151.95,1657.79,796.921,451.484,0
17,3,-46.0973,39.6175,-849.118,-219058,64089.8,10111.2,375.478,707.983,0,1.2601,-3.71152,-67.0692,-799.941,-7356.41,1321.62,812.316,461.927,0
17,4,-46.3387,40.6849,-847.085,-221025,64727.1,10312.8,376.412,710.924,0,1.43743,-3.64724,-70.8484,645.064,-6436.45,1229.42,831.152,440.895,0
18,0,-47.1462,41.3525,-855.671,-221742,64316.6,10408.5,375.165,709.144,0,1.14173,-3.77189,-62.842,1722.01,-6498.04,1219.71,818.597,422.598,0
18,1,-46.4816,41.3933,-857.626,-222585,64031.3,10427.9,374.661,709.536,0,1.65969,-3.52742,-59.8279,1853.59,-6524.29,976.024,812.949,419.018,0
18,2,-48.0684,41.4219,-854.719,-222998,64471.5,11066.7,375.43,710.902,0,0.0640898,-2.85343,-54.2683,1836.42,-5332.34,1086.38,823.741,416.16,0
18,3,-46.9646,42.5037,-863.133,-227355,63460.3,10738.7,373.523,713.407,0,0.222991,-1.85287,-55.6985,2892.04,-6040.56,951.585,813.549,398.077,0
18,4,-48.2907,43.4896,-857.671,-226049,64651.5,11099.4,375.38,713.561,0,-0.355699,-2.09608,-49.7406,864.086,-4354.69,1180.07,834.452,432.628,0
19,0,-48.8021,43.5933,-854.475,-226174,62529.3,10686.3,373.179,714.693,0,1.62238,-1.71556,-48.3972,1191.6,-4817.92,995.663,822.45,425.379,0
19,1,-48.6904,43.6571,-859.851,-227402,63921.2,11594,374.34,714.467,0,-0.556156,-1.75581,-46.7307,1440.48,-4640.3,1170.42,822.701,419.175,0
19,2,-49.2024,43.9401,-864.549,-226612,63227.1,11092.5,373.133,712.116,0,-0.129633,-1.53812,-49.2641,2277.9,-4668.57,621.563,827.234,403.761,0
19,3,-49.622,45.4642,-862.733,-228795,63107.2,11326.2,373.148,715.198,0,-1.21152,-1.13381,-37.24,-1450.19,-4761.01,558.8,794.153,488.942,0
19,4,-48.8545,45.1118,-869.753,-229579,63853.5,11796.6,373.416,713.958,0,-1.00784,-0.0809176,-38.784,987.194,-2746.88,511.421,851.175,424.546,0
20,0,-48.4316,46.1688,-866.156,-230336,62450.6,11568.3,372.101,715.929,0,-0.846447,-0.0769,-48.2328,-47.0166,-3611.75,64.1398,847.118,450.975,0
20,1,-49.3953,46.8604,-864.283,-230135,63031,12163.6,372.929,716.273,0,-1.14948,-0.48121,-38.8458,2376.4,-2090.28,778.776,868.19,388.825,0
20,2,-49.2184,46.5172,-869.343,-232360,61400,11771.9,370.628,717.282,0,-1.46333,-0.338164,-40.0499,1198.2,-2885.5,-13.3472,849.952,420.082,0
20,3,-49.5324,46.7844,-862.32,-230985,61908.4,12598.3,371.793,717.865,0,-2.10581,-0.23789,-35.526,515.284,-2096.54,271.261,862.986,435.496,0
20,4,-48.4593,47.6083,-869.406,-234515,61933.2,11634.9,371.236,719.741,0,-2.30115,0.740595,-39.8223,837.599,-3056.14,-211.343,845.256,428.967,0
21,0,-48.326,47.4299,-871.843,-234277,62102.6,12589.2,371.231,718.715,0,-2.92329,0.43874,-28.4723,-736.281,-1659.36,264.779,863.72,475.86,0
21,1,-49.536,48.1609,-873.075,-234449,61290.9,12834.6,370.201,718.533,0,-3.63747,1.19632,-33.7144,449.713,-2227.43,-154.223,855.932,436.661,0
21,2,-47.9093,49.1581,-870.94,-237873,62530.5,12282.5,371.797,723.122,0,-3.0203,2.19608,-29.6592,1103.89,-1973.13,-126.093,855.473,412.781,0
21,3,-48.5748,48.3843,-876.593,-234954,61677.7,12547,370.361,718.031,0,-3.7377,0.778317,-33.525,2599.66,-1484.38,-190.117,877.723,372.456,0
21,4,-47.7489,49.8269,-871.506,-235446,60531.8,12492.5,369.457,720.159,0,-3.81759,1.69919,-29.6435,685.866,-663.377,-416.819,899.621,426.863,0
22,0,-47.7868,49.4515,-879.399,-236422,61797.3,12876,370.272,718.845,0,-4.97936,2.21437,-29.3872,805.17,387.969,165.68,935.202,422.601,0
22,1,-48.051,50.2967,-877.119,-238312,60485.9,12823.8,368.96,721.699,0,-3.5352,2.51462,-35.9891,1276.49,-1118.92,-494.764,890.909,414.531,0
22,2,-48.2686,51.901,-876.561,-239727,61173.6,13100.3,369.788,723.486,0,-4.29605,1.49703,-31.2845,2425.62,-51.6518,-307.236,920.349,372.466,0
22,3,-48.6582,51.7275,-882.958,-240707,59065,12892.3,366.895,722.615,0,-5.39183,2.09546,-29.4069,1789.27,-1054.36,-556.454,886.146,389.155,0
22,4,-48.7495,52.2691,-879.213,-240902,60053.4,13552.7,368.304,723.997,0,-4.75579,2.65594,-30.9002,1965.53,-574.075,-398.089,903.422,386.391,0
23,0,-49.8828,53.1186,-877.413,-239570,60267.8,13463,368.688,723.041,0,-5.18625,1.61881,-29.715,1866.85,-303.605,-1274.86,911.783,387.175,0
23,1,-48.3541,53.8592,-884.512,-242226,59738.1,13256.7,367.538,723.853,0,-5.19591,2.79623,-26.7101,62.4115,-330.606,-373.794,909.622,447.663,0
23,2,-49.6785,53.806,-880.131,-241581,60702.3,13872.1,368.97,724.483,0,-4.63434,2.73299,-25.1897,2020.05,150.602,-350.968,927.979,369.806,0
23,3,-49.0376,55.2914,-880.356,-243807,57532.1,13671.7,365.351,726.941,0,-4.11374,3.49425,-30.0434,816.176,-863.181,-704.169,893.269,422.833,0
23,4,-49.3137,55.7416,-880.498,-244828,59422,14426,367.487,728.056,0,-4.37419,2.85247,-28.6831,2025,-365.542,-383.547,909.256,379.401,0
24,0,-49.6208,55.4806,-880.275,-244807,57221.6,14067,365.004,728.102,0,-2.615,2.5751,-32.115,-678.071,-1217.07,-681.874,884.103,471.114,0
24,1,-50.0988,56.7472,-877.598,-246108,58336.8,14570.5,366.473,730.434,0,-3.59738,2.51622,-29.9564,514.467,-442.246,-395.301,907.237,432.826,0
24,2,-50.3067,55.9089,-886.998,-244993,56998.3,14269.6,364.26,726.205,0,-3.57324,1.59662,-31.9266,1204.76,102.682,-659.149,925.216,412.265,0
24,3,-50.3033,57.2533,-882.529,-246149,56590.9,14540.3,364.124,728.913,0,-3.43731,1.89629,-31.867,-632.928,-553.329,-318.348,904.636,469.862,0
24,4,-50.5286,58.483,-882.971,-248268,57200.2,14520.5,364.782,731.174,0,-3.61172,1.87686,-32.7869,1969.86,520.721,-866.111,937.882,389.919,0
25,0,-49.2985,58.3001,-889.151,-247535,57209.7,14525.7,364.342,728.395,0,-2.99689,2.69779,-30.6883,604.626,-1659.65,-668.648,867.919,430.298,0
25,1,-51.6729,59.1083,-882.891,-248969,56790.9,14933.2,364.324,731.992,0,-4.29239,1.77716,-33.4327,3018.52,-736.682,-715.582,899.965,359.714,0
25,2,-50.7282,59.9517,-888.823,-249401,55227.7,14829.9,362.136,730.596,0,-3.5112,1.89778,-28.8422,2754.26,-1110.58,-1000.39,883.495,354.506,0
25,3,-51.2465,60.0766,-886.489,-250165,56305.4,15386.7,363.515,732.198,0,-4.197,2.73242,-30.2575,1133.77,522.691,-113.903,939.275,412.529,0
25,4,-51.4362,60.6204,-890.226,-250288,54580,14890.3,361.31,731.151,0,-4.1708,2.23449,-33.383,-90.5255,-1327.8,-770.657,882.225,452.712,0
26,0,-50.5618,62.2715,-889.743,-253151,55614.8,15717.5,362.507,734.522,0,-3.93538,2.43446,-27.4116,-489.553,741.779,-399.161,949.061,467.859,0
26,1,-51.4962,62.1911,-889.05,-250992,54830.3,15171.5,361.673,732.315,0,-4.05185,1.49554,-36.607,831.504,42.6222,-632.013,923.164,427.286,0
26,2,-52.1373,63.6157,-884.812,-253755,54083.1,15441.2,361.124,736.79,0,-3.31762,1.73691,-33.9899,436.978,120.304,-321.184,925.539,437.144,0
26,3,-52.0594,63.0254,-888.251,-252802,54177.2,15686.9,360.993,734.606,0,-3.5747,1.91481,-35.0842,2272.57,532.627,-444.118,937.181,385.225,0
26,4,-52.1013,63.3637,-890.524,-252531,53472.6,15477.5,360.046,733.576,0,-2.83491,2.49793,-34.0782,8.03964,-257.847,-853.305,914.434,449.764,0
27,0,-52.457,64.6488,-889.406,-253500,54089.1,16016.8,360.815,735.021,0,-3.49144,1.25761,-34.296,1180.35,727.154,-853.366,943.202,415.583,0
27,1,-51.2129,64.393,-894.946,-256208,51736.9,15869.8,357.81,736.283,0,-3.1533,1.65825,-36.7791,895.975,-941.11,-838.54,896.412,425.639,0
27,2,-53.2644,65.4618,-887.767,-255664,52707.1,16316.2,359.37,737.985,0,-4.8127,0.283834,-31.2103,2990.72,-537.983,-838.207,904.763,354.175,0
27,3,-52.4876,66.3623,-887.594,-256810,51188.5,15633.6,357.671,739.332,0,-4.0476,2.35581,-30.6857,696.374,-1498.6,-1209.75,873.163,427.306,0
27,4,-52.9002,66.3916,-893.15,-256447,51194.3,16708.7,357.319,737.126,0,-3.55846,2.93595,-27.0884,1097.57,290.253,-352.207,932.715,409.482,0
28,0,-54.0133,66.0322,-887.201,-256309,51097.1,16405.7,357.594,738.896,0,-4.56791,1.53854,-24.4565,3817.37,400.699,-1165.2,938.384,293.912,0
28,1,-53.2267,67.3515,-892.581,-259207,50675.8,16312,356.774,740.402,0,-3.77589,2.23828,-27.1016,831.98,-363.844,-614.293,908.575,419.301,0
28,2,-53.8499,67.4182,-887.179,-258257,52076.6,16651.1,358.699,741.099,0,-4.55065,1.67665,-22.5239,1078.53,-1580.43,-793.538,851.833,402.116,0
28,3,-53.9325,67.4171,-885.986,-261287,50263.8,16467.9,356.732,744.911,0,-3.43599,2.23851,-28.5064,2387.01,282.633,-666.44,931.915,366.264,0
28,4,-53.8064,67.3974,-887.723,-259206,49826.3,16847.3,356.128,741.99,0,-3.55231,1.65492,-30.5651,1959.79,685.554,-636.961,944.429,385.882,0
29,0,-53.791,67.3841,-893.032,-259473,49367,16772.8,355.28,740.553,0,-2.71596,1.67929,-33.3057,1290.33,-2094.05,-722.992,859.126,411.258,0
29,1,-55.1968,68.732,-885.447,-261234,49268.4,17232.3,355.642,745.031,0,-3.67391,2.07499,-28.5122,2374.35,29.0187,-548.898,923.018,366.725,0
29,2,-54.5801,68.7535,-890.909,-261387,47921.7,16745.3,353.79,743.394,0,-4.23153,2.3174,-23.6208,555.271,-337.872,-919.984,907.696,426.492,0
29,3,-52.9953,68.4171,-888.79,-263463,48635.2,17865.1,354.721,746.429,0,-3.41887,2.09695,-28.7573,1793.91,-268.564,-255.492,912.661,387.619,0
29,4,-56.1087,69.1005,-887.366,-264188,48130.4,17143.8,354.24,747.722,0,-4.12998,2.41308,-25.2922,1699.08,-1424.52,-783.474,865.678,382.822,0
30,0,-54.516,69.3235,-889.563,-265154,47182.2,17327,353.04,748.073,0,-3.79813,2.03865,-29.2437,458.794,-413.819,-389.066,907.849,434.311,0
30,1,-56.3085,69.4074,-885.583,-262446,47433.5,17488.2,353.562,746.354,0,-4.73033,1.81534,-21.4886,1775.84,-1321.53,-729.155,860.501,367.359,0
