CSV File Version 2
Avi TimeStamp, Frame,Spot x,Spot y,Pupil x,Pupil y,Pupil r,Scene x,Scene y,Mouse x, Mouse y
 0:00:08.51, 256, 304.80,306.58,297.64,295.08,53.15,229.44,260.44,726.00,601.00
 0:00:08.54, 257, 304.89,306.63,295.18,298.49,51.98,223.80,266.33,726.00,601.00
 0:00:08.57, 258, 305.11,307.49,295.11,297.20,52.04,220.05,266.65,726.00,601.00
 0:00:08.61, 259, 307.73,308.29,-2000.00,-2000.00,-2000.00,228.91,269.37,726.00,601.00
 0:00:08.64, 260, 307.81,308.24,302.02,300.90,52.54,233.08,270.22,726.00,601.00
 0:00:08.67, 261, 307.91,308.11,301.92,301.08,52.23,235.09,273.35,726.00,601.00
 0:00:08.71, 262, 308.07,308.25,301.69,300.22,52.01,233.86,271.68,726.00,601.00
 0:00:08.74, 263, 301.95,315.84,291.77,317.41,52.07,218.81,307.29,726.00,601.00
 0:00:08.77, 264, 303.45,315.78,294.21,315.78,52.11,224.70,303.80,726.00,601.00
 0:00:08.81, 265, 303.78,316.05,295.04,316.44,52.59,225.78,303.13,726.00,601.00
 0:00:08.84, 266, 304.38,316.00,292.45,316.65,50.80,218.84,304.64,726.00,601.00
 0:00:08.87, 267, 304.86,316.20,295.76,316.46,52.17,221.74,303.98,726.00,601.00
 0:00:08.91, 268, 305.11,316.16,296.18,316.58,51.82,225.40,303.12,726.00,601.00
 0:00:08.94, 269, 305.54,316.09,295.26,317.35,51.80,222.59,305.76,726.00,601.00
 0:00:08.97, 270, 305.77,316.19,297.15,316.40,52.41,224.73,304.14,726.00,601.00
 0:00:09.01, 271, 306.00,314.00,296.67,312.58,51.15,224.56,295.35,726.00,601.00
 0:00:09.04, 272, 305.59,310.85,297.06,307.09,51.61,224.46,285.89,726.00,601.00
 0:00:09.07, 273, 306.18,310.91,298.46,307.36,52.23,228.66,287.69,726.00,601.00
 0:00:09.11, 274, 306.55,310.88,298.34,306.63,51.50,228.12,286.07,726.00,601.00
 0:00:09.14, 275, 306.83,311.00,299.37,306.33,51.85,229.18,284.22,726.00,601.00
 0:00:09.17, 276, 306.92,310.42,-2000.00,-2000.00,-2000.00,229.34,281.69,726.00,601.00
 0:00:09.21, 277, 307.12,310.54,300.14,305.82,51.64,231.23,282.53,726.00,601.00
 0:00:09.24, 278, 307.01,310.47,297.91,305.64,50.55,226.16,283.23,726.00,601.00
