CSV File Version 2
Avi TimeStamp, Frame,Spot x,Spot y,Pupil x,Pupil y,Pupil r,Scene x,Scene y,AVI file path,Mouse x, Mouse y
 0:00:12.28, 115567, 193.68,251.49,-2000.00,-2000.00,-2000.00,84.74,196.25,,295.00,605.00
 0:00:12.35, 115568, 194.00,253.00,139.45,213.83,70.25,88.69,210.68,,295.00,605.00
 0:00:12.42, 115569, 196.00,250.91,-2000.00,-2000.00,-2000.00,93.79,200.18,,295.00,605.00
 0:00:12.45, 115570, 196.47,251.21,-2000.00,-2000.00,-2000.00,95.11,201.55,,295.00,605.00
 0:00:12.52, 115571, 196.71,251.18,145.63,204.75,70.83,94.80,192.01,,295.00,605.00
 0:00:12.58, 115572, 196.90,250.85,147.19,203.84,70.88,97.62,186.92,,295.00,605.00
 0:00:12.62, 115573, 196.96,250.89,139.95,205.88,66.99,86.47,191.08,,295.00,605.00
 0:00:12.68, 115574, 197.13,250.58,146.49,204.72,70.09,91.13,190.56,,295.00,605.00
 0:00:12.72, 115575, 200.12,253.51,145.79,205.73,68.86,92.89,191.60,,295.00,605.00
 0:00:12.78, 115576, 243.34,271.96,217.04,254.60,56.71,176.87,266.73,,295.00,605.00
 0:00:12.85, 115577, 246.61,270.95,-2000.00,-2000.00,-2000.00,185.65,260.85,,295.00,605.00
 0:00:12.88, 115578, 247.11,270.29,244.90,255.60,73.75,205.82,263.23,,295.00,605.00
 0:00:12.95, 115579, 237.04,267.05,222.76,247.20,74.57,192.62,254.51,,295.00,605.00
 0:00:12.98, 115580, 235.82,266.45,223.86,245.86,75.29,194.28,252.84,,295.00,605.00
 0:00:13.05, 115581, 235.70,266.35,222.87,244.14,74.07,195.64,250.01,,295.00,605.00
 0:00:13.12, 115582, 235.79,265.98,223.41,243.34,73.70,195.75,247.31,,295.00,605.00
 0:00:13.15, 115583, 236.10,266.19,223.05,243.48,73.00,195.22,247.79,,295.00,605.00
 0:00:13.22, 115584, 226.21,265.06,201.59,239.28,72.31,165.08,240.71,,295.00,605.00
 0:00:13.25, 115585, 222.01,264.36,197.79,237.99,71.87,160.92,237.59,,295.00,605.00
 0:00:13.32, 115586, 221.77,265.05,195.92,240.39,71.77,162.36,242.82,,295.00,605.00
 0:00:13.39, 115587, 221.21,265.62,194.31,240.63,71.52,158.94,243.85,,295.00,605.00
 0:00:13.42, 115588, 220.93,265.88,193.56,241.10,71.60,157.49,243.50,,295.00,605.00
 0:00:13.49, 115589, 220.33,265.94,192.34,241.23,71.68,155.74,243.60,,295.00,605.00
 0:00:13.52, 115590, 220.03,265.00,190.95,241.00,71.58,153.62,243.41,,295.00,605.00
 0:00:13.59, 115591, 219.28,263.90,190.34,237.68,71.54,152.33,239.53,,295.00,605.00
 0:00:13.65, 115592, 218.68,262.68,187.39,234.70,71.76,148.33,234.02,,295.00,605.00
 0:00:13.69, 115593, 218.35,262.39,188.33,232.97,71.78,148.61,231.21,,295.00,605.00
 0:00:13.75, 115594, 217.77,262.49,188.74,232.25,72.12,150.53,227.04,,295.00,605.00
 0:00:13.79, 115595, 217.23,260.39,186.68,227.50,71.41,148.58,218.29,,295.00,605.00
 0:00:13.85, 115596, 216.93,259.57,187.00,224.12,72.12,148.43,213.64,,295.00,605.00
 0:00:13.92, 115597, 216.20,259.49,184.47,223.48,71.98,145.44,211.73,,295.00,605.00
 0:00:13.95, 115598, 216.07,258.36,184.93,221.83,71.95,145.38,208.66,,295.00,605.00
 0:00:14.02, 115599, 214.86,256.81,182.25,219.68,72.09,142.32,206.61,,295.00,605.00
 0:00:14.05, 115600, 216.75,261.84,178.55,226.16,73.44,135.30,221.29,,295.00,605.00
 0:00:14.12, 115601, 229.12,273.53,210.92,263.87,72.53,176.68,280.31,,295.00,605.00
 0:00:14.19, 115602, 231.01,273.21,210.30,264.42,72.76,180.11,284.86,,295.00,605.00
 0:00:14.22, 115603, 231.47,273.18,215.35,263.99,76.00,184.55,284.96,,295.00,605.00
 0:00:14.29, 115604, 233.51,270.18,219.46,255.70,76.35,192.85,269.54,,295.00,605.00
 0:00:14.32, 115605, 233.97,269.64,220.86,255.24,76.81,194.77,268.91,,295.00,605.00
 0:00:14.39, 115606, 233.89,269.05,220.98,253.24,76.94,195.30,266.32,,295.00,605.00
 0:00:14.45, 115607, 198.24,231.24,-2000.00,-2000.00,-2000.00,92.30,86.67,,295.00,605.00
 0:00:14.49, 115608, 191.06,233.17,-2000.00,-2000.00,-2000.00,72.91,96.52,,295.00,605.00
 0:00:14.55, 115609, 194.84,239.02,148.65,166.51,72.67,98.63,121.78,,295.00,605.00
 0:00:14.59, 115610, 196.15,239.79,153.83,167.94,75.10,113.67,122.77,,295.00,605.00
